Time,Lapse1_daily_mean_RH
2016-08-16,54.61775
2016-08-17,69.39475
2016-08-18,52.707625
2016-08-19,46.02625
2016-08-20,48.498875
2016-08-21,57.05125
2016-08-22,74.9595
2016-08-23,71.40925
2016-08-24,58.983125
2016-08-25,53.282625
2016-08-26,50.7225
2016-08-27,64.446
2016-08-28,84.068875
2016-08-29,81.3035
2016-08-30,80.758
2016-08-31,93.489125
2016-09-01,101.106125
2016-09-02,102.300875
2016-09-03,101.5345
2016-09-04,94.553125
2016-09-05,95.760375
2016-09-06,94.670375
2016-09-07,99.38425
2016-09-08,102.1395
2016-09-09,92.95425
2016-09-10,89.258125
2016-09-11,79.2065
2016-09-12,74.045
2016-09-13,71.19125
2016-09-14,77.40325
2016-09-15,80.276125
2016-09-16,79.073125
2016-09-17,100.222875
2016-09-18,101.701
2016-09-19,102.4085
2016-09-20,99.542625
2016-09-21,90.06725
2016-09-22,85.26825
2016-09-23,97.982375
2016-09-24,98.161
2016-09-25,99.947125
2016-09-26,93.37725
2016-09-27,91.66675
2016-09-28,87.28075
2016-09-29,90.187125
2016-09-30,89.8275
2016-10-01,92.430875
2016-10-02,91.639375
2016-10-03,92.3615
2016-10-04,100.94225
2016-10-05,97.1195
2016-10-06,101.541625
2016-10-07,103.105875
2016-10-08,102.838125
2016-10-09,103.532375
2016-10-10,101.893
2016-10-11,95.694375
2016-10-12,94.958375
2016-10-13,101.859
2016-10-14,103.3725
2016-10-15,103.851625
2016-10-16,103.90475
2016-10-17,104.063125
2016-10-18,104.274375
2016-10-19,104.4325
2016-10-20,103.957125
2016-10-21,104.589125
2016-10-22,104.800375
2016-10-23,103.632125
2016-10-24,99.289125
2016-10-25,102.8865
2016-10-26,102.664375
2016-10-27,103.851375
2016-10-28,103.957625
2016-10-29,102.348375
2016-10-30,103.204375
2016-10-31,103.957375
2016-11-01,104.801375
2016-11-02,104.380375
2016-11-03,104.3275
2016-11-04,99.787375
2016-11-05,102.377875
2016-11-06,104.794666667
2016-11-07,104.01
2016-11-08,103.25425
2016-11-09,102.498125
2016-11-10,103.36975
2016-11-11,101.59425
2016-11-12,103.028625
2016-11-13,104.801125
2016-11-14,105.010125
2016-11-15,105.48
2016-11-16,106.103375
2016-11-17,106.41175
2016-11-18,106.206625
2016-11-19,105.219125
2016-11-20,105.115125
2016-11-21,105.4805
2016-11-22,105.73975
2016-11-23,105.89625
2016-11-24,106.25825
2016-11-25,106.051
2016-11-26,105.948
2016-11-27,106.36225
2016-11-28,106.46425
2016-11-29,106.3615
2016-11-30,106.413625
2016-12-01,106.773625
2016-12-02,106.309625
2016-12-03,106.567125
2016-12-04,106.978375
2016-12-05,105.6875
2016-12-06,104.168625
2016-12-07,104.22125
2016-12-08,103.798
2016-12-09,104.378375
2016-12-10,105.373625
2016-12-11,106.25725
2016-12-12,104.059
2016-12-13,103.586
2016-12-14,103.58625
2016-12-15,103.532875
2016-12-16,103.372125
2016-12-17,103.53175
2016-12-18,103.58625
2016-12-19,105.112
2016-12-20,105.947875
2016-12-21,105.948125
2016-12-22,105.948
2016-12-23,105.895625
2016-12-24,104.166625
2016-12-25,103.2665
2016-12-26,103.5825
2016-12-27,105.68875
2016-12-28,105.999875
2016-12-29,106.206
2016-12-30,106.25875
2016-12-31,103.31875
2017-01-01,103.31925
2017-01-02,103.79875
2017-01-03,103.692
2017-01-04,103.639375
2017-01-05,103.266
2017-01-06,102.783875
2017-01-07,102.73
2017-01-08,103.466625
2017-01-09,105.636625
2017-01-10,99.6285
2017-01-11,97.68175
2017-01-12,101.316625
2017-01-13,100.8865
2017-01-14,101.158375
2017-01-15,101.2705
2017-01-16,102.504375
2017-01-17,105.219875
2017-01-18,105.6365
2017-01-19,106.207
2017-01-20,106.102875
2017-01-21,106.2065
2017-01-22,106.3615
2017-01-23,106.8245
2017-01-24,103.613625
2017-01-25,100.6085
2017-01-26,101.048
2017-01-27,100.062875
2017-01-28,99.7855
2017-01-29,101.561
2017-01-30,105.272
2017-01-31,96.011125
2017-02-01,72.15375
2017-02-02,80.43
2017-02-03,99.18575
2017-02-04,103.318375
2017-02-05,103.425
2017-02-06,102.892
2017-02-07,103.212625
2017-02-08,103.15875
2017-02-09,105.010625
2017-02-10,105.428625
2017-02-11,105.844375
2017-02-12,106.051125
2017-02-13,104.9475
2017-02-14,97.9445
2017-02-15,105.114875
2017-02-16,105.688375
2017-02-17,105.999
2017-02-18,106.25875
2017-02-19,106.15475
2017-02-20,106.464625
2017-02-21,106.51575
2017-02-22,106.201625
2017-02-23,96.279125
2017-02-24,88.27725
2017-02-25,92.52325
2017-02-26,103.89375
2017-02-27,101.129875
2017-02-28,102.135625
2017-03-01,105.738
2017-03-02,106.1035
2017-03-03,106.413125
2017-03-04,105.1605
2017-03-05,105.579625
2017-03-06,104.694375
2017-03-07,105.05425
2017-03-08,105.9975
2017-03-09,106.257375
2017-03-10,106.41325
2017-03-11,106.361875
2017-03-12,106.471857143
2017-03-13,106.516375
2017-03-14,106.3105
2017-03-15,106.51525
2017-03-16,106.670875
2017-03-17,107.079625
2017-03-18,106.7725
2017-03-19,107.079625
2017-03-20,106.5145
2017-03-21,105.16625
2017-03-22,105.115125
2017-03-23,104.634875
2017-03-24,103.636
2017-03-25,104.695375
2017-03-26,104.85275
2017-03-27,104.745625
2017-03-28,105.219125
2017-03-29,105.009875
2017-03-30,105.79175
2017-03-31,101.129
2017-04-01,100.661875
2017-04-02,101.53525
2017-04-03,93.78175
2017-04-04,92.47
2017-04-05,99.4995
2017-04-06,100.3925
2017-04-07,99.88675
2017-04-08,102.892375
2017-04-09,101.6835
2017-04-10,97.015625
2017-04-11,90.7135
2017-04-12,98.165375
2017-04-13,102.408125
2017-04-14,101.236
2017-04-15,102.404875
2017-04-16,93.10925
2017-04-17,95.632125
2017-04-18,97.605375
2017-04-19,99.116
2017-04-20,100.38925
2017-04-21,93.856875
2017-04-22,94.63775
2017-04-23,94.198875
2017-04-24,88.71125
2017-04-25,86.959625
2017-04-26,100.277625
2017-04-27,100.326875
2017-04-28,92.249625
2017-04-29,97.153875
2017-04-30,97.27425
2017-05-01,96.772875
2017-05-02,88.321375
2017-05-03,98.445875
2017-05-04,90.56625
2017-05-05,98.838625
2017-05-06,95.012375
2017-05-07,79.151625
2017-05-08,83.96425
2017-05-09,82.703
2017-05-10,81.361
2017-05-11,94.396125
2017-05-12,96.909125
2017-05-13,95.28375
2017-05-14,92.390375
2017-05-15,97.828
2017-05-16,100.72475
2017-05-17,93.755
2017-05-18,81.4695
2017-05-19,86.951375
2017-05-20,76.79125
2017-05-21,70.968
2017-05-22,63.916375
2017-05-23,60.267
2017-05-24,84.887875
2017-05-25,79.972875
2017-05-26,68.71975
2017-05-27,59.355
2017-05-28,60.722375
2017-05-29,58.51025
2017-05-30,84.872375
2017-05-31,90.748375
2017-06-01,90.23075
2017-06-02,92.832125
2017-06-03,90.12725
2017-06-04,79.319875
2017-06-05,70.494375
2017-06-06,61.073875
2017-06-07,60.67325
2017-06-08,89.440125
2017-06-09,89.864375
2017-06-10,93.638875
2017-06-11,85.568
2017-06-12,88.69475
2017-06-13,88.424625
2017-06-14,89.360875
2017-06-15,91.503375
2017-06-16,93.316625
2017-06-17,87.659625
2017-06-18,91.318875
2017-06-19,88.918625
2017-06-20,89.993
2017-06-21,78.53925
2017-06-22,73.2245
2017-06-23,68.34
2017-06-24,59.42075
2017-06-25,54.0125
2017-06-26,53.907375
2017-06-27,70.0055
2017-06-28,73.127
2017-06-29,77.18425
2017-06-30,71.307875
2017-07-01,70.679625
2017-07-02,72.1895
2017-07-03,75.705125
2017-07-04,73.49375
2017-07-05,63.79475
2017-07-06,60.69625
2017-07-07,69.626625
2017-07-08,74.229875
2017-07-09,73.819
2017-07-10,71.847
2017-07-11,71.197125
2017-07-12,76.241125
2017-07-13,79.3115
2017-07-14,75.9265
2017-07-15,69.493
2017-07-16,65.14175
2017-07-17,70.631625
2017-07-18,67.989625
2017-07-19,63.43675
2017-07-20,84.567875
2017-07-21,85.423625
2017-07-22,88.052375
2017-07-23,82.2535
2017-07-24,76.18825
2017-07-25,71.447375
2017-07-26,69.812
2017-07-27,75.7645
2017-07-28,75.91125
2017-07-29,69.219375
2017-07-30,65.9395
2017-07-31,68.07025
2017-08-01,67.354125
2017-08-02,56.8925
2017-08-03,52.320625
2017-08-04,64.131875
2017-08-05,69.204375
2017-08-06,70.415
2017-08-07,60.715125
2017-08-08,64.71925
2017-08-09,64.265875
2017-08-10,58.957625
2017-08-11,58.7575
2017-08-12,71.118
2017-08-13,81.30825
2017-08-14,74.78425
2017-08-15,71.418375
2017-08-16,69.99625
2017-08-17,73.18775
2017-08-18,79.744875
2017-08-19,74.3
2017-08-20,69.433875
2017-08-21,68.272375
2017-08-22,61.883
2017-08-23,72.52675
2017-08-24,73.26375
2017-08-25,67.8375
2017-08-26,63.94025
2017-08-27,60.230875
2017-08-28,58.62275
2017-08-29,49.396
2017-08-30,72.376125
2017-08-31,75.723
2017-09-01,67.450125
2017-09-02,62.244375
2017-09-03,53.44975
2017-09-04,50.42475
2017-09-05,52.787625
2017-09-06,59.4335
2017-09-07,74.314
2017-09-08,89.03025
2017-09-09,92.444625
2017-09-10,92.139
2017-09-11,79.618625
2017-09-12,81.538
2017-09-13,79.0725
2017-09-14,62.67275
2017-09-15,56.47125
2017-09-16,61.3925
2017-09-17,73.445125
2017-09-18,93.3425
2017-09-19,94.2795
2017-09-20,90.94425
2017-09-21,92.119375
2017-09-22,79.619625
2017-09-23,76.499625
2017-09-24,83.091625
2017-09-25,90.6605
2017-09-26,87.695625
2017-09-27,81.185625
2017-09-28,78.33
